Alexandrina Ionescu 2828
Aneta Florea 19889
Ozana Mazilescu 10009
Toma Mazilescu 19675
Jasmina Barbu 5779
Ariadna Voinea 5659
Dalia Dochioiu 9653
Eusebia Mocanu 17938
Ileana Ababei 12716
Ștefan Nemeș 19640
Albertina Pop 15159
Călin Nemeș 15996
Julia Florea 4847
Iancu Nemeș 15984
Anuța Voinea 15238
Rebeca Marin 12528
Ludovic Diaconu 3091
Emanuel Nistor 2417
Florentin Tudor 18643
Ilarie Toma 2008
Marius Tabacu 15845
Artemisa Nistor 12618
Viorel Tudor 7591
Caius Dinu 12954
Steliana Georgescu 4650
Marga Niță 2482
Rozalia Niță 6056
Caius Stan 12148
Cosmina Nemeș 19680
Paul Dochioiu 7992
Tudor Barbu 15519
Nichifor Eftimie 9579
Dacian Nistor 15359
Tinca Oprea 10157
Carmen Mazilescu 5563
Florentin Eftimie 16315
Iridenta Dinu 10849
Voichița Pop 6161
Aurelian Pușcașu 15744
Henrieta Preda 10037
Tiberiu Nistor 18197
Aleodor Nistor 4165
Ionela Marin 16695
Lelia Tabacu 16791
Sava Aanei 5846
